#1:Lon   2:Lat   3:Center(km)    4:Slip(cm)    5:Stri-Slip(cm)    6:Dip-slip(cm)    7:StriSlipErr(cm)   8:DipSlipErr(cm)
98.317188 0.724784 43.137267 57.060353 -7.395812 -56.579023 0.000000 0.000000
98.250547 1.239674 53.811496 144.948370 -2.399268 -144.928511 0.000000 0.000000
98.205357 0.973449 44.979776 127.532596 -4.906638 -127.438173 0.000000 0.000000
98.499641 0.878312 54.368683 109.926318 -7.299103 -109.683721 0.000000 0.000000
98.387852 1.126951 56.403141 158.574189 -4.532940 -158.509387 0.000000 0.000000
98.474229 0.744411 49.745113 70.055123 -8.405627 -69.549017 0.000000 0.000000
98.730280 1.299622 78.412508 0.000703 -0.000586 -0.000388 0.000000 0.000000
98.682136 1.031742 67.204762 71.198007 -5.735998 -70.966574 0.000000 0.000000
98.971220 0.937136 79.461711 0.001143 -0.001132 0.000156 0.000000 0.000000
99.079445 0.689856 77.328003 0.001775 -0.001727 0.000409 0.000000 0.000000
98.690469 0.249472 45.058113 17.149089 -15.562249 7.204698 0.000000 0.000000
99.055261 0.556469 71.457091 0.002244 -0.002083 0.000834 0.000000 0.000000
